index,Starting Capacity,Vaccination Session Site,Delay Session Site,Vaccination PHC,Delay PHC,Demand Real Session Site,Demand Served Session Site,Demand Unserved Session Site,Demand Real PHC,Demand Served PHC,Demand Unserved PHC
293,31.0,301.0,8.0,293.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
294,30.0,301.0,7.0,294.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
295,29.0,301.0,6.0,295.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
296,28.0,301.0,5.0,296.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
297,27.0,301.0,4.0,297.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
298,26.0,-1.0,-1.0,298.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
299,25.0,-1.0,-1.0,299.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
300,24.0,-1.0,-1.0,300.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
301,23.0,-1.0,-1.0,301.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
302,0.0,329.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
303,0.0,329.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
304,0.0,329.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
305,0.0,329.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
306,0.0,329.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
307,0.0,329.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
308,44.0,329.0,21.0,308.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
309,43.0,329.0,20.0,309.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
310,42.0,329.0,19.0,310.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
311,41.0,329.0,18.0,311.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
312,40.0,329.0,17.0,312.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
313,39.0,329.0,16.0,313.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
314,38.0,329.0,15.0,314.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
315,37.0,329.0,14.0,315.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
316,36.0,329.0,13.0,316.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
317,35.0,329.0,12.0,317.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
318,34.0,329.0,11.0,318.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
319,33.0,329.0,10.0,319.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
320,32.0,329.0,9.0,320.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
321,31.0,329.0,8.0,321.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
322,30.0,329.0,7.0,322.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
323,29.0,329.0,6.0,323.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
324,28.0,329.0,5.0,324.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
325,27.0,329.0,4.0,325.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
326,26.0,-1.0,-1.0,326.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
327,25.0,-1.0,-1.0,327.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
328,24.0,-1.0,-1.0,328.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
329,23.0,-1.0,-1.0,329.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
330,0.0,357.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
331,0.0,357.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
332,0.0,357.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
333,0.0,357.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
334,0.0,357.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
335,0.0,357.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
336,44.0,357.0,21.0,336.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
337,43.0,357.0,20.0,337.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
338,42.0,357.0,19.0,338.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
339,41.0,357.0,18.0,339.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
340,40.0,357.0,17.0,340.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
341,39.0,357.0,16.0,341.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
342,38.0,357.0,15.0,342.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
343,37.0,357.0,14.0,343.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
344,36.0,357.0,13.0,344.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
345,35.0,357.0,12.0,345.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
346,34.0,357.0,11.0,346.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
347,33.0,357.0,10.0,347.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
348,32.0,357.0,9.0,348.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
349,31.0,357.0,8.0,349.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
350,30.0,357.0,7.0,350.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
351,29.0,357.0,6.0,351.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
352,28.0,357.0,5.0,352.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
353,27.0,357.0,4.0,353.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
354,26.0,-1.0,-1.0,354.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
355,25.0,-1.0,-1.0,355.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
356,24.0,-1.0,-1.0,356.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
357,23.0,-1.0,-1.0,357.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
358,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
359,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
360,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
361,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
362,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
363,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
364,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
