index,Starting Capacity,Vaccination Session Site,Delay Session Site,Vaccination PHC,Delay PHC,Demand Real Session Site,Demand Served Session Site,Demand Unserved Session Site,Demand Real PHC,Demand Served PHC,Demand Unserved PHC
66,34.0,77.0,11.0,66.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
67,33.0,77.0,10.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
68,32.0,77.0,9.0,68.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
69,31.0,77.0,8.0,69.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
70,30.0,77.0,7.0,70.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
71,29.0,77.0,6.0,71.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
72,28.0,77.0,5.0,72.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
73,27.0,77.0,4.0,73.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
74,26.0,-1.0,-1.0,74.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
75,25.0,-1.0,-1.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
76,24.0,-1.0,-1.0,76.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
77,23.0,-1.0,-1.0,77.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
78,0.0,105.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
79,0.0,105.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
80,0.0,105.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
81,0.0,105.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
82,0.0,105.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
83,0.0,105.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
84,44.0,105.0,21.0,84.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
85,43.0,105.0,20.0,85.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
86,42.0,105.0,19.0,86.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
87,41.0,105.0,18.0,87.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
88,40.0,105.0,17.0,88.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
89,39.0,105.0,16.0,89.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
90,38.0,105.0,15.0,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
91,37.0,105.0,14.0,91.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
92,36.0,105.0,13.0,92.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
93,35.0,105.0,12.0,93.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
94,34.0,105.0,11.0,94.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
95,33.0,105.0,10.0,95.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
96,32.0,105.0,9.0,96.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
97,31.0,105.0,8.0,97.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
98,30.0,105.0,7.0,98.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
99,29.0,105.0,6.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
100,28.0,105.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
101,27.0,105.0,4.0,101.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
102,26.0,-1.0,-1.0,102.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
103,25.0,-1.0,-1.0,103.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
104,24.0,-1.0,-1.0,104.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
105,23.0,-1.0,-1.0,105.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
106,0.0,133.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
107,0.0,133.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
108,0.0,133.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
109,0.0,133.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
110,0.0,133.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
111,0.0,133.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
112,44.0,133.0,21.0,112.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
113,43.0,133.0,20.0,113.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
114,42.0,133.0,19.0,114.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
115,41.0,133.0,18.0,115.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
116,40.0,133.0,17.0,116.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
117,39.0,133.0,16.0,117.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
118,38.0,133.0,15.0,118.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
119,37.0,133.0,14.0,119.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
120,36.0,133.0,13.0,120.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
121,35.0,133.0,12.0,121.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
122,34.0,133.0,11.0,122.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
123,33.0,133.0,10.0,123.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
124,32.0,133.0,9.0,124.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
125,31.0,133.0,8.0,125.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
126,30.0,133.0,7.0,126.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
127,29.0,133.0,6.0,127.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
128,28.0,133.0,5.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
129,27.0,133.0,4.0,129.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
130,26.0,-1.0,-1.0,130.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
131,25.0,-1.0,-1.0,131.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
132,24.0,-1.0,-1.0,132.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
133,23.0,-1.0,-1.0,133.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
134,0.0,161.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
135,0.0,161.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
136,0.0,161.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
137,0.0,161.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
138,0.0,161.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
139,0.0,161.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
140,44.0,161.0,21.0,140.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
141,43.0,161.0,20.0,141.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
142,42.0,161.0,19.0,142.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
143,41.0,161.0,18.0,143.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
144,40.0,161.0,17.0,144.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
145,39.0,161.0,16.0,145.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
146,38.0,161.0,15.0,146.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
147,37.0,161.0,14.0,147.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
148,36.0,161.0,13.0,148.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
149,35.0,161.0,12.0,149.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
150,34.0,161.0,11.0,150.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
151,33.0,161.0,10.0,151.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
152,32.0,161.0,9.0,152.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
153,31.0,161.0,8.0,153.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
154,30.0,161.0,7.0,154.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
155,29.0,161.0,6.0,155.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
156,28.0,161.0,5.0,156.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
157,27.0,161.0,4.0,157.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
158,26.0,-1.0,-1.0,158.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
159,25.0,-1.0,-1.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
160,24.0,-1.0,-1.0,160.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
161,23.0,-1.0,-1.0,161.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
162,0.0,189.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
163,0.0,189.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
164,0.0,189.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
165,0.0,189.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
166,0.0,189.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
167,0.0,189.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
168,44.0,189.0,21.0,168.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
169,43.0,189.0,20.0,169.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
170,42.0,189.0,19.0,170.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
171,41.0,189.0,18.0,171.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
172,40.0,189.0,17.0,172.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
173,39.0,189.0,16.0,173.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
174,38.0,189.0,15.0,174.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
175,37.0,189.0,14.0,175.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
176,36.0,189.0,13.0,176.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
177,35.0,189.0,12.0,177.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
178,34.0,189.0,11.0,178.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
179,33.0,189.0,10.0,179.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
180,32.0,189.0,9.0,180.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
181,31.0,189.0,8.0,181.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
182,30.0,189.0,7.0,182.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
183,29.0,189.0,6.0,183.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
184,28.0,189.0,5.0,184.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
185,27.0,189.0,4.0,185.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
186,26.0,-1.0,-1.0,186.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
187,25.0,-1.0,-1.0,187.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
188,24.0,-1.0,-1.0,188.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
189,23.0,-1.0,-1.0,189.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
190,0.0,217.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
191,0.0,217.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
192,0.0,217.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
193,0.0,217.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
194,0.0,217.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
195,0.0,217.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
196,44.0,217.0,21.0,196.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
197,43.0,217.0,20.0,197.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
198,42.0,217.0,19.0,198.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
199,41.0,217.0,18.0,199.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
200,40.0,217.0,17.0,200.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
201,39.0,217.0,16.0,201.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
202,38.0,217.0,15.0,202.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
203,37.0,217.0,14.0,203.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
204,36.0,217.0,13.0,204.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
205,35.0,217.0,12.0,205.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
206,34.0,217.0,11.0,206.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
207,33.0,217.0,10.0,207.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
208,32.0,217.0,9.0,208.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
209,31.0,217.0,8.0,209.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
210,30.0,217.0,7.0,210.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
211,29.0,217.0,6.0,211.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
212,28.0,217.0,5.0,212.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
213,27.0,217.0,4.0,213.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
214,26.0,-1.0,-1.0,214.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
215,25.0,-1.0,-1.0,215.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
216,24.0,-1.0,-1.0,216.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
217,23.0,-1.0,-1.0,217.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
218,0.0,245.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
219,0.0,245.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
220,0.0,245.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
221,0.0,245.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
222,0.0,245.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
223,0.0,245.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
224,44.0,245.0,21.0,224.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
225,43.0,245.0,20.0,225.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
226,42.0,245.0,19.0,226.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
227,41.0,245.0,18.0,227.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
228,40.0,245.0,17.0,228.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
229,39.0,245.0,16.0,229.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
230,38.0,245.0,15.0,230.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
231,37.0,245.0,14.0,231.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
232,36.0,245.0,13.0,232.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
233,35.0,245.0,12.0,233.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
234,34.0,245.0,11.0,234.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
235,33.0,245.0,10.0,235.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
236,32.0,245.0,9.0,236.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
237,31.0,245.0,8.0,237.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
238,30.0,245.0,7.0,238.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
239,29.0,245.0,6.0,239.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
240,28.0,245.0,5.0,240.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
241,27.0,245.0,4.0,241.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
242,26.0,-1.0,-1.0,242.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
243,25.0,-1.0,-1.0,243.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
244,24.0,-1.0,-1.0,244.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
245,23.0,-1.0,-1.0,245.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
246,0.0,273.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
247,0.0,273.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
248,0.0,273.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
249,0.0,273.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
250,0.0,273.0,23.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
251,0.0,273.0,22.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0
252,44.0,273.0,21.0,252.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
253,43.0,273.0,20.0,253.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
254,42.0,273.0,19.0,254.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
255,41.0,273.0,18.0,255.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
256,40.0,273.0,17.0,256.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
257,39.0,273.0,16.0,257.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
258,38.0,273.0,15.0,258.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
259,37.0,273.0,14.0,259.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
260,36.0,273.0,13.0,260.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
261,35.0,273.0,12.0,261.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
262,34.0,273.0,11.0,262.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
263,33.0,273.0,10.0,263.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
264,32.0,273.0,9.0,264.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
265,31.0,273.0,8.0,265.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
266,30.0,273.0,7.0,266.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
267,29.0,273.0,6.0,267.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
268,28.0,273.0,5.0,268.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
269,27.0,273.0,4.0,269.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
270,26.0,-1.0,-1.0,270.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
271,25.0,-1.0,-1.0,271.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
272,24.0,-1.0,-1.0,272.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
273,23.0,-1.0,-1.0,273.0,0.0,28.0,24.0,4.0,1.0,0.0,1.0
274,0.0,301.0,27.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
275,0.0,301.0,26.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
276,0.0,301.0,25.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
277,0.0,301.0,24.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0
