Latitude,Longitude,Births
17.6370836,77.76208220000001,3.68407178
17.6370836,77.7870822,3.77468276
17.6370836,77.82874890000001,4.29055357
17.6370836,77.8370822,4.28048277
17.6370836,77.8454156,4.23012447
17.6287502,77.76208220000001,3.62047434
17.6287502,77.7870822,4.02201366
17.6287502,77.82041559999999,3.03904533
17.6287502,77.82874890000001,4.24764776
17.6287502,77.8704156,3.7869822999999996
17.6204169,77.7537489,4.04380369
17.6204169,77.77041559999999,4.18983889
17.6204169,77.77874890000001,4.27376747
17.6204169,77.7870822,4.29055357
17.6204169,77.7954156,4.18983889
17.6204169,77.8037489,4.19991016
17.6204169,77.8120822,3.96765637
17.6204169,77.82041559999999,4.29055357
17.6204169,77.82874890000001,4.29055357
17.6204169,77.8370822,3.94730902
17.6204169,77.8704156,3.76125503
17.612083600000002,77.76208220000001,4.24019575
17.612083600000002,77.77041559999999,4.07602596
17.612083600000002,77.77874890000001,4.29055357
17.612083600000002,77.7870822,3.86149812
17.612083600000002,77.7954156,4.29055357
17.612083600000002,77.8037489,4.29055357
17.612083600000002,77.8120822,4.29055357
17.612083600000002,77.82041559999999,4.24764776
17.612083600000002,77.82874890000001,4.24764776
17.612083600000002,77.8370822,4.29055357
17.612083600000002,77.8454156,4.29055357
17.612083600000002,77.8537489,4.29055357
17.612083600000002,77.8620822,4.11430407
17.612083600000002,77.8704156,3.73552704
17.603750199999997,77.77041559999999,4.1982317
17.603750199999997,77.77874890000001,4.28887463
17.603750199999997,77.7870822,3.99021482
17.603750199999997,77.7954156,4.29055357
17.603750199999997,77.8037489,4.29055357
17.603750199999997,77.8120822,4.29055357
17.603750199999997,77.82041559999999,3.47534823
17.603750199999997,77.82874890000001,1.07263839
17.603750199999997,77.8370822,4.29055357
17.603750199999997,77.8454156,4.29055357
17.603750199999997,77.8537489,4.11893129
17.603750199999997,77.8620822,4.24523211
17.603750199999997,77.8704156,3.83175492
17.5954169,77.77041559999999,4.05891085
17.5954169,77.77874890000001,4.29055357
17.5954169,77.7870822,4.28719568
17.5954169,77.7954156,4.29055357
17.5954169,77.8037489,4.29055357
17.5954169,77.8120822,4.29055357
17.5954169,77.82041559999999,4.29055357
17.5954169,77.82874890000001,4.20474195
17.5954169,77.8370822,4.29055357
17.5954169,77.8454156,4.29055357
17.5954169,77.8537489,4.29055357
17.5954169,77.8620822,4.29055357
17.5870836,77.77874890000001,4.29055357
17.5870836,77.7870822,4.29055357
17.5870836,77.7954156,3.43244243
17.5870836,77.8037489,4.29055357
17.5870836,77.8120822,4.29055357
17.5870836,77.82041559999999,4.29055357
17.5870836,77.82874890000001,4.29055357
17.5870836,77.8370822,4.29055357
17.5870836,77.8454156,4.29055357
17.5870836,77.8537489,4.29055357
17.5870836,77.8620822,4.29055357
17.5870836,77.8704156,3.86083961
17.578750199999998,77.76208220000001,4.11933899
17.578750199999998,77.77041559999999,4.28048277
17.578750199999998,77.77874890000001,4.28887463
17.578750199999998,77.7870822,4.29055357
17.578750199999998,77.7954156,4.29055357
17.578750199999998,77.8037489,4.29055357
17.578750199999998,77.8120822,4.29055357
17.578750199999998,77.82041559999999,4.29055357
17.578750199999998,77.82874890000001,4.29055357
17.578750199999998,77.8370822,3.90440392
17.578750199999998,77.8454156,4.29055357
17.578750199999998,77.8537489,4.29055357
17.578750199999998,77.8620822,4.29055357
17.578750199999998,77.8704156,4.05387545
17.578750199999998,77.8787489,3.89273214
17.578750199999998,77.88708220000001,3.8625176
17.578750199999998,77.89541559999999,3.82726836
17.578750199999998,77.90374890000001,3.7869822999999996
17.578750199999998,77.9620822,3.7869822999999996
17.570416899999998,77.77874890000001,4.27376747
17.570416899999998,77.7870822,4.29055357
17.570416899999998,77.7954156,4.29055357
17.570416899999998,77.8037489,4.28887463
17.570416899999998,77.8120822,4.29055357
17.570416899999998,77.82041559999999,4.29055357
17.570416899999998,77.82874890000001,4.29055357
17.570416899999998,77.8370822,4.29055357
17.570416899999998,77.8454156,4.29055357
17.570416899999998,77.8537489,4.29055357
17.570416899999998,77.8620822,4.29055357
17.570416899999998,77.8704156,4.29055357
17.570416899999998,77.8787489,4.29055357
17.570416899999998,77.88708220000001,4.29055357
17.570416899999998,77.89541559999999,4.29055357
17.570416899999998,77.90374890000001,4.2099824
17.570416899999998,77.9120822,4.07905436
17.570416899999998,77.9204156,3.90728951
17.570416899999998,77.95374890000001,3.7869822999999996
17.570416899999998,77.9620822,3.7869822999999996
17.5620836,77.77874890000001,4.27880335
17.5620836,77.7870822,4.29055357
17.5620836,77.7954156,2.83176541
17.5620836,77.8037489,3.81859231
17.5620836,77.8120822,4.29055357
17.5620836,77.82041559999999,4.29055357
17.5620836,77.82874890000001,4.29055357
17.5620836,77.8370822,4.29055357
17.5620836,77.8454156,4.29055357
17.5620836,77.8537489,4.29055357
