,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,demand_fulfilled_dates_phc,demand_fulfilled_dates_ss,bad_experience_phc,bad_experience_ss
147,24,9,-1,0,0,156,0,0,0
148,24,223,-1,0,0,0,0,1,0
149,24,398,-1,0,0,547,0,0,0
150,24,-1,2,0,0,0,161,0,0
151,24,-1,97,0,0,0,273,0,0
152,24,-1,3,1,0,0,161,0,0
153,23,5,-1,0,0,158,0,0,0
154,23,-1,-1,0,0,0,0,0,0
155,23,-1,0,0,0,0,161,0,0
156,23,-1,0,1,0,0,161,0,0
157,22,-1,8,0,0,0,217,0,1
158,22,-1,0,1,0,0,161,0,0
159,21,-1,4,0,0,224,0,0,1
160,21,-1,6,0,0,0,217,0,1
161,21,-1,190,0,13,0,357,0,0
162,8,310,-1,0,0,472,0,0,0
163,8,-1,-1,0,0,0,0,0,0
164,8,125,-1,0,0,289,0,0,0
165,8,0,-1,1,0,165,0,0,0
166,7,9,-1,0,0,175,0,0,0
167,7,4,-1,0,0,171,0,0,0
168,7,-1,5,0,0,0,217,1,1
169,7,0,-1,2,0,169,0,0,0
170,5,-1,1,0,0,0,217,0,1
171,5,-1,17,1,0,0,217,0,1
172,4,6,-1,0,0,178,0,0,0
173,4,5,-1,0,0,178,0,0,0
174,4,13,-1,0,0,206,0,1,0
175,4,-1,14,1,0,254,0,1,1
176,3,-1,0,0,0,0,217,0,1
177,3,61,-1,0,0,238,0,0,0
178,3,0,-1,3,0,178,0,0,0
179,0,16,-1,0,0,275,0,1,0
180,0,-1,1,0,0,204,0,1,1
181,0,-1,5,0,0,200,0,0,1
182,0,-1,1,0,0,0,217,1,1
183,0,-1,1,0,0,0,217,0,1
184,0,-1,1,0,0,0,217,0,1
185,0,-1,2,0,0,0,217,1,1
186,0,-1,0,0,0,0,217,0,1
187,0,-1,-1,0,0,0,0,0,0
188,0,-1,0,0,0,0,217,0,1
189,0,0,-1,0,0,219,0,1,0
190,0,2,-1,0,0,204,0,1,0
191,0,23,-1,0,0,214,0,0,0
192,0,1,-1,0,0,200,0,1,0
193,0,27,-1,0,0,220,0,0,0
194,0,68,-1,0,0,262,0,0,0
195,0,-1,-1,0,0,0,0,0,0
196,0,2,-1,0,0,343,0,1,0
197,0,28,-1,0,0,225,0,0,0
198,0,5,-1,0,0,203,0,0,0
199,0,51,-1,0,0,250,0,0,0
200,50,3,-1,2,0,203,0,0,0
201,48,3,-1,0,0,204,0,0,0
202,48,-1,24,0,0,0,245,0,0
203,48,211,-1,2,0,414,0,0,0
204,46,2,-1,3,0,206,0,0,0
205,43,-1,8,0,0,0,217,0,0
206,43,-1,1,2,0,0,217,0,0
207,41,10,-1,0,0,217,0,0,0
208,41,3,-1,0,0,211,0,0,0
209,41,-1,5,0,0,0,217,0,0
210,41,-1,0,0,0,0,217,0,0
211,41,-1,4,1,0,0,217,0,0
212,40,-1,0,0,0,0,217,0,0
213,40,-1,0,0,0,0,217,0,0
214,40,-1,0,1,0,0,217,0,0
215,39,-1,1,0,0,0,217,0,0
216,39,-1,125,0,0,0,357,0,0
217,39,-1,170,1,21,0,413,0,0
218,17,65,-1,1,0,283,0,0,0
219,16,16,-1,1,0,235,0,0,0
220,15,16,-1,1,0,236,0,0,0
221,14,0,-1,2,0,221,0,0,0
222,12,1,-1,0,0,223,0,0,0
223,12,46,-1,1,0,269,0,0,0
224,11,9,-1,1,0,233,0,0,0
225,10,-1,26,1,0,0,273,0,0
226,9,-1,0,0,0,0,245,0,0
227,9,1,-1,0,0,228,0,0,0
228,9,-1,57,1,0,0,301,0,0
229,8,0,-1,1,0,229,0,0,0
