,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,demand_fulfilled_dates_phc,demand_fulfilled_dates_ss,bad_experience_phc,bad_experience_ss
620,12,2,-1,0,0,622,0,0,0
621,12,0,-1,1,0,621,0,0,0
622,11,-1,-1,2,0,0,0,0,0
623,9,11,-1,1,0,634,0,0,0
624,8,-1,1,0,0,641,0,0,1
625,8,1,-1,1,0,626,0,0,0
626,7,-1,0,1,0,0,665,0,1
627,6,-1,19,0,0,0,665,0,0
628,6,2,-1,1,0,630,0,0,0
629,5,0,-1,1,0,629,0,0,0
630,4,-1,1,1,0,0,665,0,1
631,3,0,-1,1,0,631,0,0,0
632,2,-1,4,0,0,0,665,0,1
633,2,-1,6,0,0,0,665,0,0
634,2,-1,8,1,0,0,665,0,0
635,1,-1,2,0,0,0,665,0,1
636,1,-1,1,0,0,0,665,0,1
637,1,5,-1,0,1,642,0,0,0
638,0,-1,-1,0,0,0,0,0,0
639,0,-1,-1,0,0,0,0,0,0
640,50,4,-1,0,0,644,0,0,0
641,50,23,-1,1,0,664,0,0,0
642,49,-1,-1,1,0,0,0,0,0
643,48,0,-1,1,0,643,0,0,0
644,47,-1,0,2,0,0,665,0,0
645,45,-1,30,0,0,0,693,0,0
646,45,12,-1,0,0,658,0,0,0
647,45,-1,41,0,0,0,693,0,0
648,45,7,-1,0,0,655,0,0,0
649,45,-1,40,1,0,0,693,0,0
650,44,-1,34,0,0,0,693,0,0
651,44,-1,1,0,0,0,665,0,0
652,44,-1,9,0,0,0,665,0,0
653,44,-1,-1,0,0,0,0,0,0
654,44,-1,0,0,0,0,665,0,0
655,44,0,-1,2,0,655,0,0,0
656,42,-1,0,0,0,0,665,0,0
657,42,0,-1,1,0,657,0,0,0
658,41,-1,0,1,0,0,665,0,0
659,40,0,-1,1,0,659,0,0,0
660,39,-1,6,0,0,0,693,0,0
661,39,-1,0,0,0,0,665,0,0
662,39,-1,0,0,0,0,665,0,0
663,39,-1,-1,0,0,0,0,0,0
664,39,-1,17,2,0,0,693,0,0
665,37,0,-1,1,20,665,0,0,0
666,16,-1,-1,1,0,0,0,0,0
667,15,4,-1,1,0,671,0,0,0
668,14,25,-1,0,0,693,0,0,0
669,14,27,-1,0,0,696,0,0,0
670,14,-1,-1,1,0,0,0,0,0
671,13,-1,-1,1,0,0,0,0,0
672,12,-1,-1,0,0,0,0,0,0
673,12,31,-1,0,0,704,0,0,0
674,12,0,-1,2,0,674,0,0,0
675,10,-1,7,1,0,0,693,0,0
676,9,-1,8,0,0,0,693,0,0
677,9,0,-1,1,0,677,0,0,0
678,8,-1,1,0,0,0,693,0,0
679,8,0,-1,1,0,679,0,0,0
680,50,25,-1,0,0,705,0,0,0
681,50,-1,-1,0,0,0,0,0,0
682,50,-1,-1,0,0,0,0,0,0
683,50,-1,16,1,0,0,721,0,0
684,49,30,-1,0,0,714,0,0,0
685,49,0,-1,1,0,685,0,0,0
686,48,-1,6,0,0,0,693,0,0
687,48,-1,1,1,0,0,693,0,0
688,47,0,-1,2,0,688,0,0,0
689,45,1,-1,0,0,690,0,0,0
690,45,-1,0,1,0,0,693,0,0
691,44,-1,1,0,0,0,693,0,0
692,44,-1,-1,0,0,0,0,0,0
693,44,5,-1,1,15,698,0,0,0
694,28,-1,-1,0,0,0,0,0,0
695,28,13,-1,0,0,708,0,0,0
696,28,0,-1,2,0,696,0,0,0
697,26,13,-1,0,0,710,0,0,0
698,26,-1,3,2,0,0,721,0,0
699,24,2,-1,0,0,701,0,0,0
700,24,-1,-1,0,0,0,0,0,0
701,24,-1,-1,1,0,0,0,0,0
702,23,-1,7,0,0,0,721,0,0
703,23,-1,-1,0,0,0,0,0,0
704,23,-1,-1,1,0,0,0,0,0
705,22,-1,-1,1,0,0,0,0,0
706,21,-1,-1,0,0,0,0,0,0
707,21,-1,7,0,0,0,721,0,0
708,21,-1,2,1,0,0,721,0,0
709,20,-1,-1,0,0,0,0,0,0
710,20,-1,-1,1,0,0,0,0,0
711,19,-1,0,0,0,0,721,0,0
712,19,0,-1,1,0,712,0,0,0
713,18,12,-1,0,0,725,0,0,0
714,18,-1,2,1,0,0,721,0,0
715,17,-1,4,0,0,0,721,0,0
716,17,0,-1,1,0,716,0,0,0
717,16,-1,-1,0,0,0,0,0,0
718,16,-1,0,0,0,0,721,0,0
719,16,1,-1,0,0,720,0,0,0
720,50,-1,1,1,0,0,721,0,0
721,49,7,-1,0,14,728,0,0,0
722,35,-1,-1,0,0,0,0,0,0
723,35,-1,-1,0,0,0,0,0,0
724,35,2,-1,0,0,726,0,0,0
725,35,-1,-1,1,0,0,0,0,0
726,34,-1,-1,1,0,0,0,0,0
727,33,-1,-1,0,0,0,0,0,0
728,33,-1,-1,1,0,0,0,0,0
729,32,-1,0,1,0,0,0,0,0
