Birth Latitude,Birth Longitude,Births,Location ID,key,AWC Latitude,AWC Longitude,AWC Name,AWC_ID,Distance
17.6370836,77.76208220000002,3.68407178,0,1,17.6227,77.7605,Zhamshedpoor,1506072,1.6081480552691487
17.6370836,77.7870822,3.77468276,1,1,17.6435,77.8161,Komshetpally - II,1506105,3.156597078061572
17.6370836,77.82874890000002,4.29055357,2,1,17.6446,77.8222,Mogiligundkla,1506078,1.0863327012007624
17.6370836,77.8370822,4.28048277,3,1,17.622,77.8355,Komshetpally - I,1506077,1.6855798495003627
17.6370836,77.8454156,4.23012447,4,1,17.622,77.8355,Komshetpally - I,1506077,1.9791940810633943
17.6287502,77.76208220000002,3.62047434,5,1,17.6227,77.7605,Zhamshedpoor,1506072,0.6933318241468296
17.6287502,77.7870822,4.02201366,6,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,2.2626749891478797
17.6287502,77.82041559999998,3.03904533,7,1,17.6435,77.8161,Komshetpally - II,1506105,1.7026679154933624
17.6287502,77.82874890000002,4.24764776,8,1,17.622,77.8355,Komshetpally - I,1506077,1.0369419247133207
17.6287502,77.8704156,3.7869823,9,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,3.6016702205393556
17.6204169,77.7537489,4.04380369,10,1,17.6227,77.7605,Zhamshedpoor,1506072,0.7591689020035717
17.6204169,77.77041559999998,4.18983889,11,1,17.6227,77.7605,Zhamshedpoor,1506072,1.0810597930814752
17.6204169,77.77874890000002,4.27376747,12,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,1.4560351591773222
17.6204169,77.7870822,4.29055357,13,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,1.3471168614253382
17.6204169,77.7954156,4.18983889,14,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,1.7519791886685896
17.6204169,77.8037489,4.19991016,15,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,2.4257225701178506
17.6204169,77.8120822,3.96765637,16,1,17.6215,77.8352,Rampur (Mini),1506132,2.4529287409115046
17.6204169,77.82041559999998,4.29055357,17,1,17.6215,77.8352,Rampur (Mini),1506132,1.571438007495272
17.6204169,77.82874890000002,4.29055357,18,1,17.6215,77.8352,Rampur (Mini),1506132,0.6941993313260058
17.6204169,77.8370822,3.94730902,19,1,17.6215,77.8352,Rampur (Mini),1506132,0.23300940796286757
17.6204169,77.8704156,3.76125503,20,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,2.9196753794584622
17.612083600000005,77.76208220000002,4.24019575,21,1,17.6227,77.7605,Zhamshedpoor,1506072,1.1923393761062877
17.612083600000005,77.77041559999998,4.07602596,22,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,1.548459893513744
17.612083600000005,77.77874890000002,4.29055357,23,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,0.7296094788109265
17.612083600000005,77.7870822,3.86149812,24,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,0.47644658307963933
17.612083600000005,77.7954156,4.29055357,25,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,1.2172783267528675
17.612083600000005,77.8037489,4.29055357,26,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,2.072823053178358
17.612083600000005,77.8120822,4.29055357,27,1,17.592,77.8213,Bilkal,1506079,2.437550747775064
17.612083600000005,77.82041559999998,4.24764776,28,1,17.6215,77.8352,Rampur (Mini),1506132,1.8845031783410255
17.612083600000005,77.82874890000002,4.24764776,29,1,17.6215,77.8352,Rampur (Mini),1506132,1.2505021910781051
17.612083600000005,77.8370822,4.29055357,30,1,17.6215,77.8352,Rampur (Mini),1506132,1.0658877292939937
17.612083600000005,77.8454156,4.29055357,31,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,1.1118146289864397
17.612083600000005,77.8537489,4.29055357,32,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,1.0933278284193961
17.612083600000005,77.8620822,4.11430407,33,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,1.6476398388453022
17.612083600000005,77.8704156,3.73552704,34,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,2.407121096948181
17.603750199999997,77.77041559999998,4.1982317,35,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,1.5897702314463527
17.603750199999997,77.77874890000002,4.28887463,36,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,0.8135632911121211
17.603750199999997,77.7870822,3.99021482,37,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,0.5971117894675796
17.603750199999997,77.7954156,4.29055357,38,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,1.2693957576094999
17.603750199999997,77.8037489,4.29055357,39,1,17.608545499999998,77.78454649999999,Ghanapoor,1506071,2.103883174432088
17.603750199999997,77.8120822,4.29055357,40,1,17.592,77.8213,Bilkal,1506079,1.6314552514691079
17.603750199999997,77.82041559999998,3.47534823,41,1,17.592,77.8213,Bilkal,1506079,1.3099209246938772
17.603750199999997,77.82874890000002,1.07263839,42,1,17.592,77.8213,Bilkal,1506079,1.5265793415729392
17.603750199999997,77.8370822,4.29055357,43,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,1.350512759287052
17.603750199999997,77.8454156,4.29055357,44,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,0.47212169243593277
17.603750199999997,77.8537489,4.11893129,45,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,0.4267680658153025
17.603750199999997,77.8620822,4.24523211,46,1,17.602999999999998,77.8498,Mallikarjunagiri,1506109,1.3044356668016002
