Latitude,Longitude,Births,District
17.6370836,77.3620822,2.17950177,Bidar
17.6370836,77.3704156,2.26424694,Bidar District
17.6370836,77.3787489,3.99583793,Bidar District
17.6370836,77.38708220000001,4.13732719,Bidar District
17.6370836,77.39541559999999,4.165625100000001,Bidar District
17.6370836,77.40374890000001,3.74115586,Bidar District
17.6370836,77.4120822,4.13732719,Bidar District
17.6370836,77.4204156,4.13732719,Bidar District
17.6370836,77.4287489,4.165625100000001,Bidar District
17.6370836,77.4370822,4.10902977,Bidar District
17.6370836,77.44541559999999,4.165625100000001,Bidar District
17.6370836,77.45374890000001,4.47543621,Sangareddy District
17.6370836,77.4620822,4.50482798,Sangareddy District
17.6370836,77.4704156,3.7869822999999996,Sangareddy District
17.6370836,77.4787489,3.7869822999999996,Sangareddy District
17.6370836,77.4870822,3.65834403,Sangareddy District
17.6370836,77.4954156,3.63261604,Sangareddy District
17.6370836,77.5037489,5.25580978,Sangareddy District
17.6370836,77.51208220000001,3.55543399,Sangareddy District
17.6370836,77.52041559999999,3.76125503,Sangareddy District
17.6370836,77.52874890000001,3.76125503,Sangareddy District
17.6370836,77.5370822,3.7869822999999996,Sangareddy District
17.6370836,77.5454156,3.73552704,Sangareddy District
17.6370836,77.5537489,3.65834403,Sangareddy District
17.6370836,77.5620822,3.7869822999999996,Sangareddy District
17.6370836,77.57041559999999,5.84334135,Sangareddy District
17.6370836,77.57874890000001,3.7869822999999996,Sangareddy District
17.6370836,77.5870822,4.32305813,Sangareddy District
17.6370836,77.5954156,3.76125503,Sangareddy District
17.6370836,77.6037489,3.7869822999999996,Sangareddy District
17.6370836,77.6120822,3.73552704,Sangareddy District
17.6370836,77.6204156,3.70979953,Sangareddy District
17.6370836,77.6287489,3.32821465,Sangareddy District
17.6370836,77.63708220000001,2.86078739,Sangareddy District
17.6370836,77.64541559999999,3.34961247,Sangareddy District
17.6370836,77.65374890000001,3.68407178,Sangareddy District
17.6370836,77.6620822,3.63261604,Sangareddy District
17.6370836,77.6704156,3.76125503,Sangareddy District
17.6370836,77.6787489,3.7869822999999996,Sangareddy District
17.6370836,77.6870822,3.73552704,Sangareddy District
17.6370836,77.69541559999999,5.54957628,Sangareddy District
17.6370836,77.70374890000001,3.7869822999999996,Sangareddy District
17.6370836,77.7120822,3.7869822999999996,Sangareddy District
17.6370836,77.7204156,3.7869822999999996,Sangareddy District
17.6370836,77.7287489,3.7869822999999996,Sangareddy District
17.6370836,77.7370822,6.43087292,Medak District
17.6370836,77.7454156,3.7869822999999996,Sangareddy District
