AWC Latitude,AWC Longitude,AWC Name,AWC_ID,key,PHC_ID,Primary Health Centre Name,Primary Health Centre Location,Mandal,PHC Latitude,PHC Longitude,PHC Full Name,Distance
17.0566,77.6546,HUSNABAD-3,1409035,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",6.729168643653522
17.0512,77.6503,HUSNABAD-4,1409036,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",7.067897923907587
17.051,77.6483,HUSNABAD-5,1409037,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",7.007264234807311
17.039,77.6468,ALID,1409038,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",8.214006131402913
17.0924,77.6362,PARSAPUR-1,1409039,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",2.3085111156260916
17.1,77.6314,PARSAPUR-II,1409040,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",1.3237576920531862
17.0843,77.6854,Gopya Thanda,1409041,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",7.104246088620667
17.0738,77.6815,PALGURALLA TANDA,1409042,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",7.291393845743894
17.0842,77.6822,YEKACHERU TANADA,1409043,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",6.797861412242531
17.0863,77.6517,PATTA KODANGAL,1409044,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",3.9195150366233693
17.0936,77.6631,PATTA KODANGAL TANDA,1409045,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",4.518343782354324
17.0562,77.604,PEDDANANDIGAMA-I,1409046,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",6.305899516920466
17.0566,77.6076,PEDDANANDIGAMA-II,1409047,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",6.144650473149948
17.0807,77.633,GUNDLAKUNTA ,1409048,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",3.350957533808424
17.0957,77.6029,PIYALAMADDI,1409049,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",2.7238594916567
17.0693,77.6189,HUSSAINPUR,1409050,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",4.5124544164297635
17.1328,77.5114,RUDRARAM-1,1409051,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",5.833506220143818
17.1353,77.5109,RUDRARAM-2,1409052,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",6.105294902239505
17.1349,77.5116,RUDRARAM-3,1409053,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",6.032366680628347
17.1333,77.5102,RUDRARAM-4,1409054,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",5.942190937885953
17.1354,77.51100000000001,RUDRARAM-5,1409055,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",6.1104865957905705
17.1348,77.5093,RUDRARAM-6,1409056,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",6.134383901650298
17.1132,77.4789,BHAVANAMMA (T),1409057,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",6.83213236077999
17.1082,77.4663,BHEEMALI (T),1409058,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",7.866760751927459
17.1594,77.493,PATIMIDIPALLY,1409059,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",9.366683631824829
17.1040783,77.5202,UPPERPALLY,1409060,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",2.646071761424019
17.1426,77.5311,NASARAM,1409061,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",6.296802354731245
17.0582,77.4951,ANNARAM-I,1409062,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",5.405538226442271
17.0562,77.5434,ANNARAM-II,1409063,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",3.414286333755829
17.0576,77.4969,TEKULCODE-I,1409064,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",5.2902186976241605
17.0595,77.4972,TEKULCODE-II,1409065,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",5.1398085639851505
17.0576,77.4969,TEKULCODE (T),1409066,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",5.2902186976241605
17.1019,77.4672,BOYAPALLY TANDA,1409067,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",7.585054589221555
17.0943,77.6016,LAXMIPALLY,1409068,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",2.9263567119241363
17.0957,77.6029,SANSAIPALLY,1409069,1,3,Community Health Centre,Kodangal,Kodangal,17.109586,77.624014,"Community Health Centre, Kodangal, Kodangal",2.7238594916567
17.0627,77.5499,ANGADIRAICHUR-I,1409070,1,22,Primary Health Centre,Angadi Raichur,Kodangal,17.086221,77.53665600000001,"Primary Health Centre, Angadi Raichur, Kodangal",2.9702151712190554
