,choice_delay_ss,choice_delay_phc,total_delay_ss,total_delay_phc
286,-1,25,0,311
287,-1,2,0,289
288,-1,-1,0,0
289,-1,11,0,300
290,1,-1,301,0
291,2,-1,301,0
292,8,-1,301,0
293,1,-1,301,0
294,-1,11,0,305
295,-1,-1,0,0
296,0,-1,301,0
297,24,-1,329,0
298,2,-1,301,0
299,0,-1,301,0
300,0,-1,301,0
301,-1,4,0,305
302,-1,409,0,711
303,58,-1,469,0
304,-1,100,0,404
305,-1,10,0,315
306,116,-1,441,0
307,178,-1,0,0
308,-1,16,0,324
309,-1,25,0,334
310,0,-1,329,0
311,13,-1,329,0
312,-1,2,0,314
313,-1,9,0,322
314,2,-1,329,0
315,2,-1,329,0
316,-1,0,0,316
317,-1,53,0,370
318,-1,0,0,318
319,-1,1,0,320
320,3,-1,329,0
321,0,-1,329,0
322,74,-1,413,0
323,0,-1,329,0
324,1,-1,329,0
325,0,-1,329,0
326,-1,20,0,346
327,1,-1,329,0
328,0,-1,329,0
329,-1,3,0,332
330,-1,4,0,334
331,-1,-1,0,0
332,-1,22,0,354
333,-1,1,0,334
334,3,-1,357,0
335,44,-1,441,0
336,-1,0,0,336
337,-1,124,0,461
338,-1,-1,0,0
339,42,-1,637,0
340,-1,2,0,342
341,-1,4,0,345
342,43,-1,413,0
343,0,-1,357,0
344,-1,4,0,348
345,-1,3,0,348
346,42,-1,413,0
347,6,-1,357,0
348,-1,24,0,372
349,0,-1,357,0
350,0,-1,357,0
351,-1,3,0,354
352,0,-1,357,0
353,1,-1,357,0
354,3,-1,357,0
355,9,-1,441,0
356,0,-1,357,0
357,-1,27,0,384
358,-1,12,0,370
359,-1,3,0,362
360,-1,6,0,366
361,-1,78,0,0
362,-1,102,0,464
363,-1,22,0,400
364,0,-1,413,0
365,-1,-1,0,0
366,-1,-1,0,0
367,6,-1,413,0
368,11,-1,525,0
369,20,-1,413,0
370,-1,155,0,525
371,2,-1,413,0
372,200,-1,581,0
373,-1,0,0,373
374,11,-1,413,0
375,1,-1,413,0
376,-1,48,0,424
377,-1,1,0,378
378,3,-1,413,0
379,10,-1,413,0
380,-1,5,0,402
381,-1,250,0,631
382,-1,13,413,0
383,2,-1,413,0
384,1,-1,413,0
385,246,-1,637,0
386,-1,1,0,404
387,-1,3,413,0
388,-1,176,0,564
389,33,-1,441,0
390,0,-1,413,0
391,-1,99,0,0
392,-1,0,413,0
393,-1,1,413,0
394,-1,1,413,0
395,-1,1,413,0
396,16,-1,413,0
397,-1,286,0,683
398,-1,1,0,400
399,-1,3,0,402
400,9,-1,413,0
401,-1,-1,0,0
402,2,-1,413,0
403,21,-1,441,0
404,0,-1,413,0
405,8,-1,413,0
406,-1,16,0,422
407,0,-1,413,0
408,7,-1,441,0
409,0,-1,413,0
410,0,-1,413,0
411,25,-1,441,0
412,4,-1,441,0
413,-1,26,0,439
414,-1,109,0,523
415,-1,-1,0,0
416,-1,0,0,416
417,44,-1,469,0
418,-1,43,0,461
419,-1,59,0,478
420,-1,10,0,430
421,-1,28,0,449
422,-1,38,0,460
423,-1,3,0,426
424,14,-1,441,0
425,-1,264,0,689
426,3,-1,441,0
427,-1,13,0,440
428,-1,-1,0,0
429,-1,8,0,437
430,-1,3,0,433
431,-1,9,0,440
432,-1,4,0,436
433,-1,0,0,433
434,-1,1,0,435
435,0,-1,441,0
436,0,-1,441,0
437,1,-1,441,0
438,1,-1,441,0
439,5,-1,469,0
440,0,-1,441,0
441,-1,11,0,452
442,-1,9,0,451
443,-1,41,0,542
444,-1,34,0,552
445,-1,0,0,445
446,-1,6,0,452
447,-1,48,0,0
448,-1,43,0,0
449,92,-1,637,0
450,-1,16,0,466
451,1,-1,469,0
452,-1,0,0,452
453,-1,11,0,464
454,1,-1,469,0
455,-1,-1,0,0
456,-1,4,0,460
457,3,-1,469,0
458,-1,1,0,459
459,-1,0,0,459
460,0,-1,469,0
461,5,-1,469,0
462,0,-1,469,0
463,-1,0,0,463
464,127,-1,609,0
465,-1,1,0,466
466,1,-1,469,0
467,1,-1,469,0
468,34,-1,525,0
469,-1,80,0,549
470,-1,16,0,539
471,-1,-1,0,0
472,-1,-1,0,0
473,-1,0,0,473
474,-1,51,0,525
475,-1,14,553,0
476,-1,2,525,0
477,-1,243,0,720
478,-1,-1,0,0
479,-1,17,637,0
480,-1,-1,0,0
481,-1,4,525,0
482,-1,41,0,523
483,-1,0,0,520
484,5,-1,581,0
485,19,-1,525,0
486,-1,0,0,520
487,0,-1,525,0
488,-1,8,0,529
489,5,-1,525,0
490,13,-1,525,0
491,-1,0,525,0
492,3,-1,525,0
493,4,-1,525,0
494,0,-1,525,0
495,3,-1,525,0
496,-1,7,0,535
497,68,-1,581,0
498,-1,25,0,523
499,-1,69,0,568
500,-1,113,0,613
501,9,-1,525,0
502,-1,-1,0,0
503,-1,26,0,529
504,-1,4,0,523
505,7,-1,525,0
506,-1,8,0,603
507,-1,0,525,0
508,97,-1,609,0
509,31,-1,581,0
510,1,-1,525,0
511,-1,93,0,604
512,-1,4,0,0
513,12,-1,525,0
514,-1,0,525,0
515,160,-1,693,0
516,-1,0,525,0
517,-1,7,0,524
518,0,-1,525,0
519,19,-1,0,560
520,22,-1,0,0
521,80,-1,609,0
522,88,-1,637,0
523,8,-1,553,0
524,146,-1,693,0
525,-1,0,0,525
526,-1,2,0,528
527,-1,0,0,527
528,-1,54,0,582
529,-1,89,0,618
530,-1,-1,0,0
531,-1,-1,0,0
532,-1,-1,0,0
533,-1,-1,0,0
534,-1,3,0,537
535,-1,1,0,536
536,-1,8,0,544
537,0,-1,581,0
538,-1,16,637,0
539,-1,14,0,562
540,112,-1,665,0
541,3,-1,581,0
542,-1,1,0,543
543,-1,0,0,543
544,22,-1,581,0
545,-1,10,0,0
546,2,-1,581,0
547,-1,0,0,547
548,8,-1,581,0
549,2,-1,0,560
550,-1,0,0,550
551,4,-1,581,0
552,9,-1,581,0
553,-1,0,0,560
554,-1,12,0,566
555,-1,-1,0,0
556,-1,4,0,560
557,9,-1,581,0
558,2,-1,581,0
559,-1,3,0,562
560,0,-1,581,0
561,-1,8,0,569
562,-1,92,0,654
563,17,-1,581,0
564,8,-1,581,0
565,-1,1,0,566
566,-1,0,0,566
567,22,-1,609,0
568,9,-1,581,0
569,-1,-1,0,0
570,-1,3,0,573
571,25,-1,609,0
572,-1,0,0,572
573,38,-1,637,0
574,-1,9,0,583
575,-1,24,0,599
576,38,-1,637,0
577,0,-1,581,0
578,2,-1,581,0
579,-1,0,0,579
580,0,-1,581,0
581,-1,0,0,581
582,0,-1,609,0
583,-1,-1,0,0
584,-1,3,0,587
585,-1,25,0,610
586,-1,15,0,601
587,-1,1,0,588
588,-1,0,0,588
589,-1,75,0,664
590,-1,3,0,593
591,61,-1,665,0
592,2,-1,609,0
593,-1,1,0,594
594,78,-1,693,0
595,-1,5,0,600
596,0,-1,609,0
597,-1,5,0,602
598,2,-1,609,0
599,0,-1,609,0
600,-1,4,0,604
601,-1,0,0,601
602,-1,-1,0,0
603,21,-1,637,0
604,33,-1,637,0
605,26,-1,637,0
606,0,-1,609,0
607,0,-1,609,0
608,4,-1,637,0
609,-1,-1,0,0
610,-1,-1,0,0
611,-1,1,0,612
612,-1,14,0,626
613,-1,-1,0,0
614,-1,37,0,651
615,3,-1,637,0
616,-1,1,0,617
617,-1,65,0,682
618,-1,9,0,627
619,-1,20,0,0
620,-1,24,0,644
621,5,-1,637,0
622,-1,-1,0,0
623,3,-1,0,0
624,-1,6,0,630
625,-1,2,0,627
626,3,-1,637,0
627,-1,0,0,627
628,5,-1,637,0
629,0,-1,665,0
630,17,-1,665,0
631,24,-1,665,0
632,74,-1,721,0
633,0,-1,637,0
634,0,-1,637,0
635,-1,2,0,640
