scenario_name,ss_mode,ss_replenishment_source,phc_replenishment_disrupt,annual_cce_disruptions,phc,ss,overall
baseline,periodic,phc,0,0,0.21138211382113822,0.2413793103448276,0.22895622895622897
baseline,periodic,phc,0,0,0.2196969696969697,0.2247191011235955,0.22258064516129034
baseline,periodic,phc,0,0,0.23357664233576642,0.1686746987951807,0.19801980198019803
baseline,periodic,phc,0,0,0.22794117647058823,0.2261904761904762,0.22697368421052633
baseline,periodic,phc,0,0,0.23404255319148937,0.20224719101123595,0.21630094043887146
baseline,periodic,phc,0,0,0.19310344827586207,0.30625,0.25245901639344265
baseline,periodic,phc,0,0,0.2153846153846154,0.20903954802259886,0.21172638436482086
baseline,periodic,phc,0,0,0.1721311475409836,0.22282608695652173,0.20261437908496732
baseline,periodic,phc,0,0,0.20634920634920634,0.18681318681318682,0.19480519480519481
baseline,periodic,phc,0,0,0.30985915492957744,0.2275449101796407,0.26537216828478966
baseline,periodic,phc,0,0,0.2824427480916031,0.2742857142857143,0.2777777777777778
baseline,periodic,phc,0,0,0.2966101694915254,0.1912568306010929,0.23255813953488372
baseline,periodic,phc,0,0,0.23741007194244604,0.27325581395348836,0.2572347266881029
baseline,periodic,phc,0,0,0.224,0.23333333333333334,0.22950819672131148
baseline,periodic,phc,0,0,0.2867647058823529,0.22950819672131148,0.25391849529780564
baseline,periodic,phc,0,0,0.26717557251908397,0.3389830508474576,0.30844155844155846
baseline,periodic,phc,0,0,0.1865671641791045,0.2569832402234637,0.2268370607028754
baseline,periodic,phc,0,0,0.2892561983471074,0.20218579234972678,0.23684210526315788
baseline,periodic,phc,0,0,0.192,0.1864406779661017,0.18874172185430463
baseline,periodic,phc,0,0,0.24615384615384617,0.2696629213483146,0.2597402597402597
baseline,periodic,phc,0,0,0.22142857142857142,0.2558139534883721,0.2403846153846154
baseline,periodic,phc,0,0,0.1968503937007874,0.17318435754189945,0.1830065359477124
baseline,periodic,phc,0,0,0.19148936170212766,0.25903614457831325,0.2280130293159609
baseline,periodic,phc,0,0,0.1875,0.23391812865497075,0.2126984126984127
baseline,periodic,phc,0,0,0.21641791044776118,0.19653179190751446,0.20521172638436483
baseline,periodic,phc,0,0,0.2689655172413793,0.2345679012345679,0.250814332247557
baseline,periodic,phc,0,0,0.17647058823529413,0.21764705882352942,0.19934640522875818
baseline,periodic,phc,0,0,0.22695035460992907,0.25,0.23961661341853036
baseline,periodic,phc,0,0,0.26666666666666666,0.24022346368715083,0.2515923566878981
baseline,periodic,phc,0,0,0.16153846153846155,0.2222222222222222,0.1967741935483871
baseline,periodic,phc,0,0,0.2,0.21195652173913043,0.2070063694267516
baseline,periodic,phc,0,0,0.2595419847328244,0.22905027932960895,0.24193548387096775
baseline,periodic,phc,0,0,0.2097902097902098,0.22023809523809523,0.21543408360128619
baseline,periodic,phc,0,0,0.2585034013605442,0.25308641975308643,0.255663430420712
baseline,periodic,phc,0,0,0.256198347107438,0.2033898305084746,0.22483221476510068
baseline,periodic,phc,0,0,0.23529411764705882,0.22282608695652173,0.22772277227722773
baseline,periodic,phc,0,0,0.22764227642276422,0.23529411764705882,0.23225806451612904
baseline,periodic,phc,0,0,0.23448275862068965,0.2331288343558282,0.23376623376623376
baseline,periodic,phc,0,0,0.2246376811594203,0.24561403508771928,0.23624595469255663
baseline,periodic,phc,0,0,0.2789115646258503,0.27647058823529413,0.277602523659306
baseline,periodic,phc,0,0,0.2857142857142857,0.23255813953488372,0.2564102564102564
baseline,periodic,phc,0,0,0.2328767123287671,0.20588235294117646,0.21835443037974683
baseline,periodic,phc,0,0,0.24822695035460993,0.25149700598802394,0.25
