Latitude,Longitude,Location Name,Type,Level
17.2109,77.7646,MADANPALLY TANDA,AWC,1
17.1668,77.7381,SALIMDAPUR,AWC,1
17.1624,77.756,Malakunta Thanda,AWC,1
17.1685,77.7664,TEKULAGADDATANDA,AWC,1
17.1392,77.6974,MAHANTIPUR,AWC,1
17.1104656,77.6217154,JANAKAMPALLY,AWC,1
17.1458,77.7284,DUPCHERLLA,AWC,1
17.1194,77.7375,NAMDARPUR-I,AWC,1
17.1194,77.7376,NAMDARPUR-II,AWC,1
17.1018,77.6507,MEDUHITTU TANDA,AWC,1
17.1007,77.7399,BORABANDA TANDA,AWC,1
17.1503,77.7333,TUNKIMETLA-I,AWC,1
17.1482,77.7328,TUNKIMETLA-II,AWC,1
17.1406083,77.7063964,BUTLONI TANDA,AWC,1
17.0551,77.6792,DUDUIYAL-I,AWC,1
17.0551,77.6792,DUDUIYAL-II,AWC,1
17.0551,77.6792,DUDUIYAL-III,AWC,1
17.0269,77.6799,DUDUIYAL-IV,AWC,1
17.0248,77.6824,DUDUIYAL-V,AWC,1
17.0248,77.6824,DUDUIYAL-VI,AWC,1
17.0248,77.6824,ALIKHANPALLY,AWC,1
17.0944,77.7439,ERRUPUMALLA -I,AWC,1
17.1151,77.7587,ERRUPUMALLA -II,AWC,1
17.1272,77.7646,KAKARLAGANDI TANDA,AWC,1
17.1456,77.7239,CHOWDERPALLY-I,AWC,1
17.1417,77.7094,CHOWDERPALLY-II,AWC,1
17.0944,77.744,BAPALLYTANDA,AWC,1
17.1034,77.7612,PALABAI TANDA,AWC,1
17.1168,77.7601,SHEETA NAIK TANDA,AWC,1
17.0641,77.7375,ERLAPALLY-1,AWC,1
17.0641,77.7375,YELLAGADDA TANDA,AWC,1
17.0757,77.7375,SATTURKUNTA TANDA,AWC,1
17.0545,77.7339,Nanya Nayak Thanda,AWC,1
17.0916,77.7279,GOUWRARAM-1,AWC,1
17.0915,77.728,GOUWRARAM-1I,AWC,1
17.0939,77.7115,SAGARAM TANDA,AWC,1
17.051,77.7241,LAGACHERLLA-I,AWC,1
17.0532,77.7307,LAGACHERLLA-II,AWC,1
17.0577,77.7339,LAGACHERLLA TANDA,AWC,1
17.1213,77.6669,REGADIMAILARAM-1,AWC,1
17.124,77.6669,REGADIMAILARAM-1I,AWC,1
17.1177,77.6652,MUDOMAMILA TANDA,AWC,1
17.1177,77.6652,B.K. NAIK TANA,AWC,1
17.1219,77.6681,BAMACHERU TANDA,AWC,1
17.1406,77.7071,NAGAREDDYPALLY,AWC,1
17.1517,77.692,KUTHUR-I,AWC,1
17.1517,77.6921,KUTHUR-II,AWC,1
17.1397,77.6985,RAMNAIK TANDA,AWC,1
17.1489,77.7406,KATTUKALVA TANDA,AWC,1
17.1651,77.6815,LINGA NAIK TANDA,AWC,1
17.1788,77.6012,VADCHERLLA-1,AWC,1
17.1788,77.6012,VADCHERLLA-1I,AWC,1
17.1701,77.6154,URUVENKI TANDA,AWC,1
17.1762,77.6724,EMMMIDI TANDA,AWC,1
17.2496862,77.6394728,YENKAIPALLY-I,AWC,1
17.1514,77.6332,YENKAIPALLY-II,AWC,1
17.1134,77.6663,CHILMULMAILARAM-I,AWC,1
17.0967,77.6819,CHILMULMAILARAM-II,AWC,1
17.0967,77.6819,CHITTUPALLI TAND,AWC,1
17.0969286,77.6819856,SATUKUNTA TANDA,AWC,1
17.0966,77.6977,PULLIBAI TANDA,AWC,1
17.0869,77.7072,MUCHUKUNTANDA,AWC,1
17.0967,77.6819,EKKACHERUTANDA,AWC,1
17.1065,77.7095,AMSANPALLY,AWC,1
17.1018,77.6505,NAGZKHANPALLY,AWC,1
17.1184,77.7016,LINGANPALLY,AWC,1
17.0079,77.5633,DOULTABAD-I,AWC,1
17.008,77.5633,DOULTABAD-II,AWC,1
17.0076,77.5663,DOULTABAD-III,AWC,1
17.0098,77.5651,DOULTABAD-IV,AWC,1
17.0064,77.5651,DOULTABAD-V,AWC,1
17.0071,77.5676,DOULTABAD-VI,AWC,1
16.9804,77.5803,RamankuntaTanda,AWC,1
16.9766,77.5688,RAIYALAGATTU TANDA,AWC,1
16.9576,77.573,GOKAFASLABAD-I,AWC,1
16.956,77.5715,GOKAFASLABAD-II,AWC,1
16.959,77.5738,GOKAFASLABAD-III,AWC,1
16.9365,77.5687,PULKAMPALLY,AWC,1
16.9184,77.5776,Sevabanda Thanda,AWC,1
16.9318,77.5662,KISTANAIK TANDA,AWC,1
16.9411,77.5801,WALKI TANDA,AWC,1
16.9184,77.5509,NAGASAGAR,AWC,1
16.9177,77.5505,TIMMLAPUR,AWC,1
16.9184,77.5306,HANMINAIK TANDA(Mini),AWC,1
16.9186,77.576,DEVARFASLABAD - I,AWC,1
16.9186,77.5775,DEVARFASLABAD - II,AWC,1
16.9186,77.5776,DEVARFASLABAD - III,AWC,1
16.9247,77.5916,Lottigutta Thanda,AWC,1
16.9187,77.5761,BHAGYA NAIK TANDA,AWC,1
16.9354,77.5779,NANDINAIK TANAD,AWC,1
16.9573,77.5201,BALLAMPET-I,AWC,1
16.9574,77.5201,BALLAMPET-II,AWC,1
16.9378,77.5298,SULTANAPUR,AWC,1
16.9568,77.5513,TEMMAREDDYPALLY,AWC,1
16.9569,77.5514,TEMMAREDDYPALLY-II,AWC,1
16.9794,77.5526,BANDIWADA TANDA,AWC,1
16.9576,77.5731,CHELLAPUR-I,AWC,1
16.9767,77.613,CHELLAPUR-II,AWC,1
16.9768,77.6135,ERLAPALLY-2,AWC,1
17.0865,77.5486,CHANDRAKAL,AWC,1
17.0400639,77.5108821,CHANDRAKAL-II,AWC,1
17.0277,77.5204,Dasarigudem,AWC,1
17.0277,77.5205,KUPPAGIRI,AWC,1
17.0425,77.5416,MATOOR-I,AWC,1
17.0424,77.5416,MATOOR-II,AWC,1
17.0515,77.5709,NETTOR-I,AWC,1
17.0508,77.5692,NETTOR-II,AWC,1
17.0318,77.5742,NARSAPOOR,AWC,1
17.0318,77.5742,KOWDEED,AWC,1
17.0263,77.5911,NANDARAM,AWC,1
