index,Starting Capacity,Vaccination Session Site,Delay Session Site,Vaccination PHC,Delay PHC,Demand Real Session Site,Demand Served Session Site,Demand Unserved Session Site,Demand Real PHC,Demand Served PHC,Demand Unserved PHC,Should be session day
291,78.0,301.0,0.0,291.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
292,77.0,301.0,0.0,292.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
293,76.0,301.0,0.0,293.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
294,75.0,301.0,0.0,294.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
295,74.0,301.0,0.0,295.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
296,73.0,301.0,0.0,296.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
297,72.0,301.0,0.0,297.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
298,71.0,301.0,0.0,298.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
299,70.0,301.0,0.0,299.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
300,69.0,301.0,0.0,300.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,301
301,68.0,301.0,0.0,301.0,0.0,28.0,28.0,0.0,1.0,1.0,0.0,301
302,39.0,329.0,0.0,302.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
303,38.0,329.0,0.0,303.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
304,37.0,329.0,0.0,304.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
305,36.0,329.0,0.0,305.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
306,35.0,329.0,0.0,306.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
307,34.0,329.0,0.0,307.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
308,89.0,329.0,0.0,308.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
309,88.0,329.0,0.0,309.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
310,87.0,329.0,0.0,310.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
311,86.0,329.0,0.0,311.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
312,85.0,329.0,0.0,312.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
313,84.0,329.0,0.0,313.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
314,83.0,329.0,0.0,314.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
315,82.0,329.0,0.0,315.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
316,81.0,329.0,0.0,316.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
317,80.0,329.0,0.0,317.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
318,79.0,329.0,0.0,318.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
319,78.0,329.0,0.0,319.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
320,77.0,329.0,0.0,320.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
321,76.0,329.0,0.0,321.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
322,75.0,329.0,0.0,322.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
323,74.0,329.0,0.0,323.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
324,73.0,329.0,0.0,324.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
325,72.0,329.0,0.0,325.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
326,71.0,329.0,0.0,326.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
327,70.0,329.0,0.0,327.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
328,69.0,329.0,0.0,328.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,329
329,68.0,329.0,0.0,329.0,0.0,28.0,28.0,0.0,1.0,1.0,0.0,329
330,39.0,357.0,0.0,330.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
331,38.0,357.0,0.0,331.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
332,37.0,357.0,0.0,332.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
333,36.0,357.0,0.0,333.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
334,35.0,357.0,0.0,334.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
335,34.0,357.0,0.0,335.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
336,89.0,357.0,0.0,336.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
337,88.0,357.0,0.0,337.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
338,87.0,357.0,0.0,338.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
339,86.0,357.0,0.0,339.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
340,85.0,357.0,0.0,340.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
341,84.0,357.0,0.0,341.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
342,83.0,357.0,0.0,342.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
343,82.0,357.0,0.0,343.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
344,81.0,357.0,0.0,344.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
345,80.0,357.0,0.0,345.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
346,79.0,357.0,0.0,346.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
347,78.0,357.0,0.0,347.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
348,77.0,357.0,0.0,348.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
349,76.0,357.0,0.0,349.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
350,75.0,357.0,0.0,350.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
351,74.0,357.0,0.0,351.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
352,73.0,357.0,0.0,352.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
353,72.0,357.0,0.0,353.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
354,71.0,357.0,0.0,354.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
355,70.0,357.0,0.0,355.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
356,69.0,357.0,0.0,356.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,357
357,68.0,357.0,0.0,357.0,0.0,28.0,28.0,0.0,1.0,1.0,0.0,357
358,39.0,0.0,-1.0,358.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,385
359,38.0,0.0,-1.0,359.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,385
360,37.0,0.0,-1.0,360.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,385
361,36.0,0.0,-1.0,361.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,385
362,35.0,0.0,-1.0,362.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,385
363,34.0,0.0,-1.0,363.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,385
364,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,385
