,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,total_delay_phc,total_delay_ss,bad_experience_phc,bad_experience_ss
653,41,-1,0,0,0,0,665,0,0
654,41,-1,2,1,0,0,665,0,0
655,40,-1,8,0,0,0,665,0,0
656,40,46,-1,0,0,702,0,0,0
657,40,-1,25,1,0,0,693,0,0
658,39,3,-1,0,0,661,0,0,0
659,39,-1,0,0,0,0,665,0,0
660,39,-1,3,0,0,0,665,0,0
661,39,0,-1,2,0,661,0,0,0
662,37,-1,0,0,0,0,665,0,0
663,37,-1,-1,1,0,0,0,0,0
664,36,-1,10,1,0,0,693,0,0
665,35,22,-1,0,15,687,0,0,0
666,20,-1,-1,0,0,0,0,0,0
667,20,-1,2,0,0,0,693,0,0
668,20,-1,-1,0,0,0,0,0,0
669,20,-1,3,0,0,0,693,0,0
670,20,-1,0,1,0,0,693,0,0
671,19,-1,48,0,0,0,721,0,0
672,19,11,-1,0,0,683,0,0,0
673,19,4,-1,0,0,677,0,0,0
674,19,7,-1,0,0,681,0,0,0
675,19,0,-1,1,0,675,0,0,0
676,18,14,-1,0,0,690,0,0,0
677,18,-1,-1,1,0,0,0,0,0
678,17,-1,-1,0,0,0,0,0,0
679,17,-1,-1,0,0,0,0,0,0
680,50,-1,0,0,0,0,693,0,0
681,50,-1,2,1,0,0,693,0,0
682,49,2,-1,1,0,684,0,0,0
683,48,1,-1,2,0,684,0,0,0
684,46,3,-1,2,0,687,0,0,0
685,44,-1,0,0,0,0,693,0,0
686,44,-1,0,0,0,0,693,0,0
687,44,-1,-1,2,0,0,0,0,0
688,42,0,-1,1,0,688,0,0,0
689,41,-1,3,1,0,0,693,0,0
690,40,-1,0,1,0,0,693,0,0
691,39,-1,1,0,0,0,693,0,0
692,39,-1,0,0,0,0,693,0,0
693,39,1,-1,0,18,694,0,0,0
694,21,-1,-1,1,0,0,0,0,0
695,20,-1,-1,0,0,0,0,0,0
696,20,11,-1,0,0,707,0,0,0
697,20,4,-1,0,0,701,0,0,0
698,20,7,-1,0,0,705,0,0,0
699,20,-1,-1,0,0,0,0,0,0
700,20,-1,-1,0,0,0,0,0,0
701,20,-1,12,1,0,0,721,0,0
702,19,-1,-1,1,0,0,0,0,0
703,18,9,-1,0,0,712,0,0,0
704,18,10,-1,0,0,714,0,0,0
705,18,-1,1,1,0,0,721,0,0
706,17,-1,0,0,0,0,721,0,0
707,17,-1,-1,1,0,0,0,0,0
708,16,-1,0,0,0,0,721,0,0
709,16,-1,2,0,0,0,721,0,0
710,16,8,-1,0,0,718,0,0,0
711,16,-1,10,1,0,0,721,0,0
712,15,-1,8,1,0,0,721,0,0
713,14,-1,-1,0,0,0,0,0,0
714,14,-1,-1,1,0,0,0,0,0
715,13,-1,1,0,0,0,721,0,0
716,13,-1,0,0,0,0,721,0,0
717,13,-1,1,0,0,0,721,0,0
718,13,-1,0,1,0,0,721,0,0
719,12,1,-1,0,0,720,0,0,0
720,50,-1,7,2,0,0,0,0,0
721,48,6,-1,0,14,727,0,0,0
722,34,-1,-1,0,0,0,0,0,0
723,34,4,-1,0,0,727,0,0,0
724,34,1,-1,0,0,725,0,0,0
725,34,-1,-1,1,0,0,0,0,0
726,33,1,-1,0,0,727,0,0,0
727,33,-1,-1,3,0,0,0,0,0
728,30,-1,-1,0,0,0,0,0,0
729,30,-1,-1,0,0,0,0,0,0
